second,Volt
+153.0000E-06,+625.0000000E-03
+153.2000E-06,+625.0000000E-03
+153.4000E-06,+593.7500000E-03
+153.6000E-06,+625.0000000E-03
+153.8000E-06,+625.0000000E-03
+154.0000E-06,+656.2500000E-03
+154.2000E-06,+656.2500000E-03
+154.4000E-06,+656.2500000E-03
+154.6000E-06,+625.0000000E-03
+154.8000E-06,+625.0000000E-03
+155.0000E-06,+609.3750000E-03
+155.2000E-06,+609.3750000E-03
+155.4000E-06,+625.0000000E-03
+155.6000E-06,+640.6250000E-03
+155.8000E-06,+625.0000000E-03
+156.0000E-06,+656.2500000E-03
+156.2000E-06,+656.2500000E-03
+156.4000E-06,+656.2500000E-03
+156.6000E-06,+640.6250000E-03
+156.8000E-06,+625.0000000E-03
+157.0000E-06,+625.0000000E-03
+157.2000E-06,+625.0000000E-03
+157.4000E-06,+640.6250000E-03
+157.6000E-06,+656.2500000E-03
+157.8000E-06,+640.6250000E-03
+158.0000E-06,+640.6250000E-03
+158.2000E-06,+640.6250000E-03
+158.4000E-06,+656.2500000E-03
+158.6000E-06,+625.0000000E-03
+158.8000E-06,+625.0000000E-03
+159.0000E-06,+625.0000000E-03
+159.2000E-06,+625.0000000E-03
+159.4000E-06,+656.2500000E-03
+159.6000E-06,+625.0000000E-03
+159.8000E-06,+640.6250000E-03
+160.0000E-06,+656.2500000E-03
+160.2000E-06,+625.0000000E-03
+160.4000E-06,+625.0000000E-03
+160.6000E-06,+625.0000000E-03
+160.8000E-06,+640.6250000E-03
+161.0000E-06,+625.0000000E-03
+161.2000E-06,+625.0000000E-03
+161.4000E-06,+640.6250000E-03
+161.6000E-06,+656.2500000E-03
+161.8000E-06,+656.2500000E-03
+162.0000E-06,+640.6250000E-03
+162.2000E-06,+625.0000000E-03
+162.4000E-06,+640.6250000E-03
+162.6000E-06,+656.2500000E-03
+162.8000E-06,+656.2500000E-03
+163.0000E-06,+640.6250000E-03
+163.2000E-06,+656.2500000E-03
+163.4000E-06,+656.2500000E-03
+163.6000E-06,+656.2500000E-03
+163.8000E-06,+640.6250000E-03
+164.0000E-06,+1.2500000000E+00
+164.2000E-06,+1.5312500000E+00
+164.4000E-06,+1.8125000000E+00
+164.6000E-06,+2.1250000000E+00
+164.8000E-06,+2.1718750000E+00
+165.0000E-06,+2.0781250000E+00
+165.2000E-06,+2.0468750000E+00
+165.4000E-06,+2.0937500000E+00
+165.6000E-06,+2.1406250000E+00
+165.8000E-06,+2.1562500000E+00
+166.0000E-06,+2.1093750000E+00
+166.2000E-06,+2.0625000000E+00
+166.4000E-06,+2.0156250000E+00
+166.6000E-06,+2.0312500000E+00
+166.8000E-06,+2.0156250000E+00
+167.0000E-06,+2.0312500000E+00
+167.2000E-06,+2.0625000000E+00
+167.4000E-06,+2.0937500000E+00
+167.6000E-06,+2.1093750000E+00
+167.8000E-06,+2.0625000000E+00
+168.0000E-06,+1.8906250000E+00
+168.2000E-06,+1.0625000000E+00
+168.4000E-06,+812.5000000E-03
+168.6000E-06,+468.7500000E-03
+168.8000E-06,+406.2500000E-03
+169.0000E-06,+546.8750000E-03
+169.2000E-06,+609.3750000E-03
