second,Volt
+106.6000E-06,-43.7499881E-03
+106.8000E-06,-43.7499881E-03
+107.0000E-06,-43.7499881E-03
+107.2000E-06,-43.7499881E-03
+107.4000E-06,-43.7499881E-03
+107.6000E-06,-43.7499881E-03
+107.8000E-06,-43.7499881E-03
+108.0000E-06,+2.2062500119E+00
+108.2000E-06,+2.3625000119E+00
+108.4000E-06,+2.3625000119E+00
+108.6000E-06,+2.3000000119E+00
+108.8000E-06,+2.3312500119E+00
+109.0000E-06,+2.3000000119E+00
+109.2000E-06,+2.3000000119E+00
+109.4000E-06,+2.3000000119E+00
+109.6000E-06,+2.3000000119E+00
+109.8000E-06,+2.3000000119E+00
+110.0000E-06,+2.3000000119E+00
+110.2000E-06,+2.3000000119E+00
+110.4000E-06,+2.3000000119E+00
+110.6000E-06,+2.3000000119E+00
+110.8000E-06,+2.3000000119E+00
+111.0000E-06,+2.2687500119E+00
+111.2000E-06,+2.2687500119E+00
+111.4000E-06,+2.3000000119E+00
+111.6000E-06,+2.3000000119E+00
+111.8000E-06,+2.2375000119E+00
+112.0000E-06,+2.2375000119E+00
+112.2000E-06,+2.2375000119E+00
+112.4000E-06,+2.2687500119E+00
+112.6000E-06,+2.2375000119E+00
+112.8000E-06,+2.2375000119E+00
+113.0000E-06,+2.2375000119E+00
+113.2000E-06,+2.2375000119E+00
+113.4000E-06,+2.2375000119E+00
+113.6000E-06,+2.2375000119E+00
+113.8000E-06,+2.2687500119E+00
+114.0000E-06,+2.2375000119E+00
+114.2000E-06,+2.2375000119E+00
+114.4000E-06,+2.2375000119E+00
+114.6000E-06,+2.2375000119E+00
+114.8000E-06,+2.2375000119E+00
+115.0000E-06,+2.2375000119E+00
+115.2000E-06,+2.2375000119E+00
+115.4000E-06,+2.2062500119E+00
+115.6000E-06,+2.2375000119E+00
+115.8000E-06,+2.2375000119E+00
+116.0000E-06,+2.2062500119E+00
+116.2000E-06,+2.2062500119E+00
+116.4000E-06,+2.2375000119E+00
+116.6000E-06,+2.2062500119E+00
+116.8000E-06,+2.2062500119E+00
+117.0000E-06,+2.2062500119E+00
+117.2000E-06,+2.1750000119E+00
+117.4000E-06,+2.1750000119E+00
+117.6000E-06,+2.1750000119E+00
+117.8000E-06,+2.1750000119E+00
+118.0000E-06,+2.1750000119E+00
+118.2000E-06,+2.1750000119E+00
+118.4000E-06,+2.1750000119E+00
+118.6000E-06,+2.2062500119E+00
+118.8000E-06,+2.1750000119E+00
+119.0000E-06,+2.1437500119E+00
+119.2000E-06,+2.1750000119E+00
+119.4000E-06,+2.1750000119E+00
+119.6000E-06,+2.1750000119E+00
+119.8000E-06,+2.1750000119E+00
+120.0000E-06,-293.7499881E-03
+120.2000E-06,-231.2499881E-03
+120.4000E-06,-231.2499881E-03
+120.6000E-06,-231.2499881E-03
+120.8000E-06,-199.9999881E-03
+121.0000E-06,-168.7499881E-03
+121.2000E-06,-168.7499881E-03
+121.4000E-06,-137.4999881E-03
+121.6000E-06,-137.4999881E-03
+121.8000E-06,-168.7499881E-03
+122.0000E-06,-137.4999881E-03
+122.2000E-06,-106.2499881E-03
+122.4000E-06,-137.4999881E-03
+122.6000E-06,-106.2499881E-03
+122.8000E-06,-106.2499881E-03
+123.0000E-06,-106.2499881E-03
+123.2000E-06,-74.9999881E-03
+123.4000E-06,-106.2499881E-03
+123.6000E-06,-74.9999881E-03
+123.8000E-06,-74.9999881E-03
+124.0000E-06,-74.9999881E-03
+124.2000E-06,-106.2499881E-03
+124.4000E-06,-74.9999881E-03
+124.6000E-06,-74.9999881E-03
+124.8000E-06,-43.7499881E-03
+125.0000E-06,-74.9999881E-03
+125.2000E-06,-43.7499881E-03
+125.4000E-06,-43.7499881E-03
+125.6000E-06,-43.7499881E-03
+125.8000E-06,-43.7499881E-03
+126.0000E-06,-43.7499881E-03
+126.2000E-06,-74.9999881E-03
+126.4000E-06,-43.7499881E-03
+126.6000E-06,-43.7499881E-03
+126.8000E-06,-43.7499881E-03
+127.0000E-06,-43.7499881E-03
+127.2000E-06,-43.7499881E-03
+127.4000E-06,-43.7499881E-03
+127.6000E-06,-43.7499881E-03
+127.8000E-06,-43.7499881E-03
+128.0000E-06,-74.9999881E-03
+128.2000E-06,-43.7499881E-03
+128.4000E-06,-43.7499881E-03
+128.6000E-06,-43.7499881E-03
+128.8000E-06,-43.7499881E-03
+129.0000E-06,-43.7499881E-03
+129.2000E-06,-43.7499881E-03
+129.4000E-06,-43.7499881E-03
+129.6000E-06,-12.4999881E-03
+129.8000E-06,-43.7499881E-03
+130.0000E-06,-43.7499881E-03
+130.2000E-06,-43.7499881E-03
+130.4000E-06,-12.4999881E-03
+130.6000E-06,-43.7499881E-03
+130.8000E-06,-43.7499881E-03
+131.0000E-06,-43.7499881E-03
+131.2000E-06,-43.7499881E-03
+131.4000E-06,-74.9999881E-03
+131.6000E-06,-43.7499881E-03
+131.8000E-06,-43.7499881E-03
+132.0000E-06,-43.7499881E-03
